,Gene,Sample,NormalizedCount,Subject.ID,Profile,origID,SULB,GATC.D3,Sex,IVSA,Reads,Reads.after.trim,Mapped.in.pairs,Mapped.to.total.rRNA
67338,Syne1,ZR2QY268,20.3734922075888,β-D3-1R,VTA,261,50 mg/Kg,0 MG/KG,M,F,44929424,27214656,0.6185,0.0632
67339,Syne1,ZRJY4674,23.8818747380392,β-D3-2N,VTA,262,50 mg/Kg,25 MG/KG,M,F,47480300,28360166,0.6007,0.0306
67340,Syne1,ZR47WV36,23.3001240931094,β-D3-3R,VTA,263,50 mg/Kg,40 MG/KG,M,F,45153884,16388610,0.5553,0.0389
67341,Syne1,ZRMW8667,27.1019526969528,β-D3-4N,VTA,264,50 mg/Kg,70 MG/KG,M,F,38088294,22365568,0.6183,0.014
67342,Syne1,ZR68A722,26.3672217932482,β-D3-5R,VTA,265,,F-O,M,F,38804726,10205944,0.3228,0.008
67343,Syne1,ZRT8G473,22.2942750696614,β-D3-6N,VTA,266,,SALINE,M,S,40997748,26847270,0.6075,0.04
67344,Syne1,ZR4FH422,31.4581165512099,β-D3-7R,VTA,267,50 mg/Kg,0 MG/KG,M,F,48126870,22952244,0.6384,0.0202
67345,Syne1,ZRDE7864,24.3328735159725,β-D3-8N,VTA,268,50 mg/Kg,25 MG/KG,M,F,40985302,22264726,0.5991,0.0299
67346,Syne1,ZR77R8G8,20.311916272604,β-D3-10N,VTA,269,50 mg/Kg,70 MG/KG,M,F,41806384,22199220,0.621,0.1673
67347,Syne1,ZRD2M386,25.3734329496472,β-D3-11R,VTA,270,,F-O,M,F,48701456,17171936,0.5914,0.0247
67348,Syne1,ZRB4T273,27.1322992730922,β-D3-12N,VTA,271,,SALINE,M,S,44111530,2927172,0.2891,0.2296
67349,Syne1,ZR73CG82,25.4724346200287,β-D3-13R,VTA,272,50 mg/Kg,0 MG/KG,M,F,48503238,12552470,0.6197,0.0237
67350,Syne1,ZR87U36B,38.225289155414,β-D3-14N,VTA,273,50 mg/Kg,25 MG/KG,M,F,29726386,3311778,0.241,0.0202
67351,Syne1,ZR866WT3,36.339201956157,β-D3-15R,VTA,274,50 mg/Kg,40 MG/KG,M,F,38951822,25922652,0.5476,0.0298
67352,Syne1,ZR4W2K23,26.8212980630821,β-D3-16N,VTA,275,50 mg/Kg,70 MG/KG,M,F,45064760,22059604,0.4344,0.0146
67353,Syne1,ZR284NU3,17.4588367477103,β-D3-17R,VTA,276,,F-O,M,F,36550824,18887920,0.638,0.0267
67354,Syne1,ZRE6843X,19.9790512272437,β-D3-18N,VTA,277,,SALINE,M,S,52471418,23959124,0.6214,0.0209
67355,Syne1,ZR42U3A3,14.1423837366739,β-D3-19R,VTA,278,50 mg/Kg,0 MG/KG,M,F,44429406,12519348,0.4838,0.1161
67356,Syne1,ZRR6X628,95.531290730998,β-D3-20N,VTA,279,50 mg/Kg,25 MG/KG,M,F,46647478,3662276,0.1971,0.0118
67357,Syne1,ZRT2D427,20.0701725361984,β-D3-21R,VTA,280,50 mg/Kg,40 MG/KG,M,F,36842432,15947318,0.3768,0.0175
67358,Syne1,ZRCM3388,34.7926781850499,β-D3-23R,VTA,281,,F-O,M,F,35875632,15022918,0.3757,0.0292
67359,Syne1,ZRMP8222,26.147702435117,β-D3-24N,VTA,282,,SALINE,M,S,30307782,11365918,0.4663,0.0442
67360,Syne1,ZR2Y67V6,27.7672331416622,β-D3-25R,VTA,283,50 mg/Kg,0 MG/KG,M,F,32733278,10779832,0.3594,0.1329
67361,Syne1,ZREK3463,23.1349485920078,β-D3-26N,VTA,284,50 mg/Kg,25 MG/KG,M,F,45922402,25733136,0.5921,0.0165
67362,Syne1,ZR72KM26,16.8213241376199,β-D3-27R,VTA,285,50 mg/Kg,40 MG/KG,M,F,51523716,29105694,0.6121,0.0894
67363,Syne1,ZR63434N,34.7712284809576,β-D3-28N,VTA,286,50 mg/Kg,70 MG/KG,M,F,35637044,656282,0.0431,0.0655
67364,Syne1,ZR63486J,24.7948182790197,β-D3-30N,VTA,287,,SALINE,M,S,82877230,56586078,0.6808,0.0361
67365,Syne1,ZR338V38,23.3086843011454,β-D3-31R,VTA,288,50 mg/Kg,0 MG/KG,M,F,123629916,33353204,0.7091,0.0416
67366,Syne1,ZR46D23L,38.3196360452682,β-D3-31R,VTA,288,50 mg/Kg,0 MG/KG,M,F,69988598,43972500,0.7203,0.0521
67367,Syne1,ZRQB3447,33.1080472868874,β-D3-32N,VTA,289,50 mg/Kg,25 MG/KG,M,F,49060800,23666780,0.6249,0.0554
67368,Syne1,ZR2782KK,31.6958515147533,β-D3-33R,VTA,290,50 mg/Kg,40 MG/KG,M,F,81436872,47125400,0.6384,0.0567
67369,Syne1,ZR3F3E24,31.9012565141472,β-D3-35R,VTA,291,,F-O,M,F,64316620,49400512,0.6656,0.056
67370,Syne1,ZRJW8874,28.3580010581397,β-D3-36N,VTA,292,,SALINE,M,S,92075488,56726992,0.6315,0.0397
67371,Syne1,ZR7J47H3,28.1335469776961,β-D3-73R,VTA,293,50 mg/Kg,0 MG/KG,M,F,74348564,36696340,0.6469,0.0766
67372,Syne1,ZR42E678,27.3653513876596,β-D3-74N,VTA,294,50 mg/Kg,25 MG/KG,M,F,63378356,41195316,0.7022,0.0598
67373,Syne1,ZR27T3N4,34.8557162416966,β-D3-75R,VTA,295,50 mg/Kg,40 MG/KG,M,F,52805538,39477246,0.7572,0.0492
67374,Syne1,ZR64B634,28.6953101232364,β-D3-76N,VTA,296,50 mg/Kg,70 MG/KG,M,F,63418824,48334488,0.7453,0.0491
67375,Syne1,ZRY28227,35.9745074562386,β-D3-77R,VTA,297,,F-O,M,F,34000412,21495840,0.7101,0.0616
67376,Syne1,ZRF32F72,24.415185847184,β-D3-78N,VTA,298,,SALINE,M,F,62038736,40354986,0.6693,0.0562
67377,Syne1,ZRC68F26,27.5671403942565,β-D3-79R,VTA,299,,40 MG/KG w/o SULB,M,F,73975646,44718992,0.6766,0.0609
67378,Syne1,ZR777B7X,33.079923027735,β-D3-80N,VTA,300,,40 MG/KG w/o SULB,M,F,66857528,48522678,0.7336,0.0621
67379,Syne1,ZRF4687K,33.5989266393143,β-D3-81R,VTA,301,,40 MG/KG w/o SULB,M,F,69164336,44082620,0.6731,0.0562
67380,Syne1,ZRB27G82,33.7581541075601,β-D3-82N,VTA,302,,40 MG/KG w/o SULB,M,F,95930652,51659694,0.742,0.0443
67381,Syne1,ZRA64772,35.7169359592273,β-D3-83R,VTA,303,,40 MG/KG w/o SULB,M,F,57008088,39075724,0.7122,0.0434
67382,Syne1,ZRWG6348,37.0404892920206,β-D3-84N,VTA,304,,40 MG/KG w/o SULB,M,F,51782676,39766940,0.7331,0.0449
67383,Syne1,ZRKK7647,18.2215065738468,β-D3-91N,VTA,305,50 mg/Kg,70 MG/KG,M,F,38031016,24278432,0.5828,0.0288
67384,Syne1,ZR7N4B28,54.2138988686103,α-D3-37R,VTA,306,50 mg/Kg,0 MG/KG,F,F,32153622,1744902,0.2904,0.1667
67385,Syne1,ZRAK4633,51.9561852484506,α-D3-38N,VTA,307,50 mg/Kg,25 MG/KG,F,F,45973400,30325154,0.7429,0.0306
67386,Syne1,ZRG8L337,44.3336017569292,α-D3-39R,VTA,308,50 mg/Kg,40 MG/KG,F,F,30140346,18796306,0.7111,0.0133
67387,Syne1,ZRR3L272,71.29348516412,α-D3-40N,VTA,309,50 mg/Kg,70 MG/KG,F,F,32234778,12698996,0.5088,0.0101
67388,Syne1,ZRV6B227,66.989193666392,α-D3-41R,VTA,310,,F-O,F,F,31689542,25075316,0.6869,0.0123
67389,Syne1,ZR76622Y,82.3282387122421,α-D3-42N,VTA,311,,SALINE,F,S,32760620,18569256,0.677,0.0325
67390,Syne1,ZRP27G74,48.102946710161,α-D3-43R,VTA,312,50 mg/Kg,0 MG/KG,F,F,43096012,16891698,0.7215,0.017
67391,Syne1,ZRQU6433,56.6120637336634,α-D3-44N,VTA,313,50 mg/Kg,25 MG/KG,F,F,32745986,22533792,0.7306,0.0442
